appid,title,total_reviews,review_percent
245300,Disney Epic Mickey 2:  The Power of Two,1308,76.53
245390,"I Have No Mouth, and I Must Scream",3542,89.05
245450,Wizardry 8,1182,89.68
245620,Tropico 5,14315,78.62
246110,MASSIVE CHALICE,1892,72.57
246580,The Typing of The Dead: Overkill,3985,87.78
246620,Plague Inc: Evolved,59324,94.37
246760,Legends of Eisenwald,1820,75.88
246840,FATE,4334,95.45
244850,Space Engineers,133116,88.9
246420,Kingdom Rush  - Tower Defense,16125,97.26
246900,Viscera Cleanup Detail,23348,92.23
247000,Talisman: Digital Classic Edition,9920,78.29
247080,Crypt of the NecroDancer,26234,95.51
247020,"Cook, Serve, Delicious!",5691,94.43
248310,Freedom Planet,4848,95.11
247240,Volgarr the Viking,2440,81.27
248330,Dino Run DX,1597,93.68
248390,Craft The World,16791,88.36
247910,Sniper Elite: Nazi Zombie Army 2,4158,84.92
247430,Hitman: Contracts,3450,86.7
248550,Megabyte Punch,1122,89.93
248570,Toribash,16773,88.35
248610,Door Kickers,9959,94.24
248650,Draw a Stickman: EPIC,1299,79.6
248820,Risk of Rain (2013),29776,93.05
248860,NEO Scavenger,5355,89.6
248970,Vector,1337,89.15
249050,Dungeon of the ENDLESS™,13950,85.34
249130,LEGO® Marvel™ Super Heroes,29087,95.57
249230,Risen 3 - Titan Lords,6339,74.37
249590,Teslagrad,2459,84.18
249630,Delver,2831,87.67
249680,Marlow Briggs and the Mask of Death,2464,90.3
249870,Scribblenauts Unmasked: A DC Comics Adventure,2448,80.72
249990,FORCED: Slightly Better Edition,2788,74.1
250050,Life Goes On: Done to Death,2438,95.9
250110,Assault Android Cactus+,1998,94.09
250180,METAL SLUG 3,8900,89.74
250260,Jazzpunk: Director's Cut,8034,93.6
250340,Blockland,5534,73.36
250400,How to Survive,17088,82.67
250380,Knock-knock,2007,87.39
250500,Super Amazing Wagon Adventure,1924,95.32
250460,Bridge Constructor,1730,75.95
250520,UnderRail,7005,86.32
250560,Fight The Dragon,1337,78.91
250600,The Plan,23419,92.29
