appid,title
219830,King Arthur's Gold
264380,Narcissu 1st & 2nd
346330,BrainBread 2
320040,Moon Hunters
363440,Mega Man Legacy Collection
219780,Divinity II: Developer's Cut
334940,Yoku's Island Express
270850,Car Mechanic Simulator 2014
385770,Time Clickers
372360,Tales of Symphonia
222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH
368390,The Darkside Detective
315810,eden*
223830,Xenonauts
323220,Vagante
353560,Plug & Play
253900,Knights and Merchants
366250,METAL SLUG
307670,Hard West
248310,Freedom Planet
314020,Morphopolis
259550,Hero of the Kingdom
270210,Melody's Escape
301860,Submerged
277430,Halo: Spartan Assault
346940,Shadowrun: Hong Kong - Extended Edition
280220,Creeper World 3: Arc Eternal
343860,Tacoma
311240,Zero Escape: Zero Time Dilemma
104200,BEEP
315430,Polarity
227100,Sniper Elite: Nazi Zombie Army
345350,LIGHTNING RETURNS™: FINAL FANTASY® XIII
242820,140
304410,Hexcells Infinite
326480,If My Heart Had Wings
375820,Human Resource Machine
224960,Tomb Raider I (1996)
373770,LiEat
255520,Viscera Cleanup Detail: Shadow Warrior
356500,STAR WARS™ Galactic Battlegrounds Saga
251130,Chroma Squad
215830,Closers
237850,Dreamfall Chapters
322110,20XX
233150,LUFTRAUSERS
358130,Curious Expedition
222750,Wargame: Airland Battle
384110,Pathologic Classic HD
341000,Mad Games Tycoon
386880,Rake
380840,Teeworlds
231200,Kentucky Route Zero: PC Edition
272270,Torment: Tides of Numenera
204240,The Bridge
356400,Thumper
246840,FATE
302590,Of Guards And Thieves
296490,GemCraft - Chasing Shadows
342940,Project: Gorgon
214870,Painkiller Hell & Damnation
275100,Shelter 2
359840,Shift Happens
292410,Street Racing Syndicate
317470,Cubic Castles
315460,Dig or Die
227600,Castle of Illusion
265690,NaissanceE
334920,Zero-K
251290,The Legend of Heroes: Trails in the Sky SC
322210,"Guns, Gore & Cannoli"
235210,STRIDER™ / ストライダー飛竜®
234190,Receiver
247910,Sniper Elite: Nazi Zombie Army 2
238260,Pinball Arcade
375530,"Football, Tactics & Glory"
205910,Tiny and Big: Grandpa's Leftovers
212200,Mabinogi
286000,Tooth and Tail
266210,One Way Heroics
348250,Google Earth VR
359390,Amnesia™: Memories
243800,Gas Guzzlers Extreme
329130,Reassembly
211600,Thief Gold
370360,TIS-100
257750,Bloody Trapland
220820,Zombie Driver HD
252110,Lovers in a Dangerous Spacetime
246580,The Typing of The Dead: Overkill
251730,Legend of Grimrock 2
308420,Ziggurat
230070,The Age of Decadence
306760,Obduction
220860,McPixel
338170,Ratz Instagib
370910,Kathy Rain
242880,"Sir, You Are Being Hunted"
359310,Evoland 2
270450,Robot Roller-Derby Disco Dodgeball
214170,Divine Divinity
302380,Floating Point
208750,Apotheon
312610,METAL SLUG X
354380,Assassin’s Creed® Chronicles: China
324310,Bus Simulator 16
378720,Thea: The Awakening
335620,Star Traders: Frontiers
286040,Dead Effect
281640,The Banner Saga 2
364420,Roguelands
227780,Serious Sam Classics: Revolution
290770,The Fall
205230,Hell Yeah! Wrath of the Dead Rabbit
244710,Shelter
298030,Total Annihilation
225640,Sacred 2 Gold
296710,Monstrum
326410,Windward
314660,Oddworld: New 'n' Tasty
314410,Rampage Knights
261530,Lifeless Planet Premier Edition
225160,Shadow Warrior Classic Redux
365160,Kona
102840,Shank 2
207350,Ys Origin
251470,TowerFall Ascension
245390,"I Have No Mouth, and I Must Scream"
321800,Icewind Dale: Enhanced Edition
251110,INFRA
224500,Gnomoria
353270,Hyperdimension Neptunia Re;Birth3 V Generation
269650,Dex
218410,Defender's Quest: Valley of the Forgotten (DX edition)
239120,Final Fantasy III (3D Remake)
107310,Cthulhu Saves the World
257730,Infinity Wars: Animated Trading Card Game
230270,N++ (NPLUSPLUS)
247430,Hitman: Contracts
297020,The Culling Of The Cows
305260,Battle Islands
353640,Train Valley
263620,Mitsurugi Kamui Hikae
